selectionBucket,islandKey
unfiltered,811
unfiltered,1904
unfiltered,2997
unfiltered,4090
unfiltered,1087
unfiltered,2180
unfiltered,3273
unfiltered,270
unfiltered,1363
unfiltered,2456
unfiltered,3549
unfiltered,546
unfiltered,1639
unfiltered,2732
unfiltered,3825
unfiltered,822
unfiltered,1915
unfiltered,3008
unfiltered,5
unfiltered,1098
unfiltered,2191
unfiltered,3284
unfiltered,281
unfiltered,1374
unfiltered,2467
unfiltered,3560
unfiltered,557
unfiltered,1650
unfiltered,2743
unfiltered,3836
unfiltered,833
unfiltered,1926
unfiltered,3019
unfiltered,16
unfiltered,1109
unfiltered,2202
unfiltered,3295
unfiltered,292
unfiltered,1385
unfiltered,2478
unfiltered,3571
unfiltered,568
unfiltered,1661
unfiltered,2754
unfiltered,3847
unfiltered,844
unfiltered,1937
unfiltered,3030
unfiltered,27
unfiltered,1120
unfiltered,2213
unfiltered,3306
substantial-channel,2083
substantial-channel,2150
substantial-channel,649
substantial-channel,1776
retained-water,1434
retained-water,2297
retained-water,2600
retained-water,1390
cave-sealed,1337
cave-sealed,2132
cave-sealed,298
cave-sealed,2417
cave-upper,3694
cave-upper,2712
cave-upper,329
cave-upper,1856
cave-underside,1552
cave-underside,674
cave-underside,2827
cave-underside,2941
channel-and-cave,2325
channel-and-cave,1397
channel-and-cave,2666
channel-and-cave,4065
channel-and-upper,1224
channel-and-upper,1407
channel-and-upper,245
channel-and-upper,420
channel-and-underside,2201
channel-and-underside,528
channel-and-underside,3962
channel-and-underside,3598
channel-water-cave,632
channel-water-cave,3426
channel-water-cave,2975
channel-water-cave,609
wet-large-relief-channel,3610
wet-large-relief-channel,938
wet-large-relief-channel,1679
wet-large-relief-channel,1176
deterministic-fill,303
deterministic-fill,1396
deterministic-fill,2489
deterministic-fill,3582
deterministic-fill,579
deterministic-fill,1672
deterministic-fill,2765
deterministic-fill,3858
